#	TYPE	FLAGS	LOC_A	LOC_B	LINES_A	LINES_B	WORDS_A	WORDS_B	TEXT_A	TEXT_B	CONTEXT_BEFORE	CONTEXT_AFTER	CATEGORY	NOTES
1	CHANGED	NAME	1.1	1.1	1	1	1	1	Dieciocho	dieciocho	Capítulo	LA puerta estaba entreabierta; entraron. '¡John!'		
2	CHANGED		2.2	2.1-2.2	4	4	1	2	'¡John!'	- ¡John!	Dieciocho LA puerta estaba entreabierta; entraron.	Del cuarto de baño llegó un		
3	CHANGED		2.4	2.3-2.4	6	6	2	5	'¿Pasa algo?',	- ¿Te pasa algo? -	llegó un sonido desagradable y característico.	llamó Helmholtz. No hubo respuesta. El		
4	ONLY IN A		2.6	~2.6	7	~7	1	0	sonido		llamó Helmholtz. No hubo respuesta. El	desagradable se repitió, dos veces; hubo		
5	ONLY IN B		~2.6	2.6	~7	7	0	1		sonido	No hubo respuesta. El sonido desagradable	se repitió, dos veces; hubo silencio.		
6	CHANGED		2.6	2.6	7	7	1	1	repitió,	repitió	hubo respuesta. El sonido desagradable se	dos veces; hubo silencio. Luego, con		
7	CHANGED		2.6	2.6	8	8	1	1	hubo	después,	sonido desagradable se repitió, dos veces;	silencio. Luego, con un clic, la		
8	CHANGED		2.7	2.7	8	8	1	1	Luego,	Entonces,	se repitió, dos veces; hubo silencio.	con un clic, la puerta del		
9	CHANGED		2.7	2.7	9	9	1	1	salió	apareció	baño se abrió y, muy pálido,	el Salvaje. 'Oye', exclamó Helmholtz solícito,		
10	CHANGED	NAME	2.8	2.7-2.8	10	10	1	4	'Oye',	- Pero, John -	y, muy pálido, salió el Salvaje.	exclamó Helmholtz solícito, '¡*sí* que pareces		
11	CHANGED		2.8	2.8	10	10	2	4	solícito, '¡*sí*	solícitamente - , ¡sí	salió el Salvaje. 'Oye', exclamó Helmholtz	que pareces enfermo, John!' '¿Has comido		
12	CHANGED	NAME	2.8-2.9	2.8-2.9	10-11	10-12	4	5	pareces enfermo, John!' '¿Has	tienes mal aspecto! - ¿Has	'Oye', exclamó Helmholtz solícito, '¡*sí* que	comido algo que te haya sentado		
